885.22|528.32|838.0|442.0|26.208|S|119.72|10
895.18|527.5|838.0|442.0|83.997|S|125.73|10
931.25|527.56|838.0|442.0|3.488|S|143.59|10
950.52|545.87|838.0|442.0|63.144|S|143.83|10
718.32|551.58|838.0|442.0|37.3333333333333|S|34.6|9
729.21|539.63|838.0|442.0|64.0|S|34.95|9
753.69|528.44|838.0|442.0|42.6666666666667|S|41.21|9
772.62|527.53|838.0|442.0|96.0|S|49.49|9
790.19|528.5|838.0|442.0|10.6666666666667|S|60.03|9
821.65|528.21|838.0|442.0|85.3333333333333|S|79.19|9
848.36|527.81|838.0|442.0|23.8944444444444|S|96.88|9
853.18|528.12|838.0|442.0|4.39111111111111|S|100.06|9
891.22|527.91|838.0|442.0|82.24|S|123.66|9
899.86|527.7|838.0|442.0|87.63|S|127.82|9
901.88|528.27|838.0|442.0|5.67111111111111|S|128.51|9
947.51|545.91|838.0|442.0|32.8611111111111|S|143.07|9
953.93|564.46|838.0|442.0|15.5555555555556|S|138.98|9
959.51|570.15|838.0|442.0|15.5022222222222|S|140.22|9
715.5|551.53|838.0|442.0|24.0|S|33.97|8
717.68|552.11|838.0|442.0|32.0|S|34.63|8
758.45|527.52|838.0|442.0|48.0|S|42.51|8
768.92|527.6|838.0|442.0|80.0|S|47.95|8
812.96|527.84|838.0|442.0|50.28125|S|73.63|8
817.37|527.93|838.0|442.0|96.0|S|76.41|8
830.78|528.11|838.0|442.0|66.48|S|85.21|8
835.51|527.92|838.0|442.0|35.26875|S|88.34|8
878.71|527.96|838.0|442.0|14.45|S|116.3|8
891.23|527.83|838.0|442.0|36.91875|S|123.7|8
897.51|528.26|838.0|442.0|76.7175|S|126.56|8
909.04|528.11|838.0|442.0|23.35875|S|132.65|8
915.38|528.37|838.0|442.0|66.45625|S|135.01|8
918.93|528.37|838.0|442.0|16.8|S|137.65|8
919.82|528.01|838.0|442.0|20.4675|S|138.1|8
939.03|528.31|838.0|442.0|27.63|S|145.47|8
941.64|533.74|838.0|442.0|2.47375|S|144.13|8
959.51|564.15|838.0|442.0|8.72|S|141.94|8
743.55|533.65|838.0|442.0|80.0|S|38.4|7
744.45|533.69|838.0|442.0|48.0|S|38.68|7
747.67|533.65|838.0|442.0|96.0|S|41.19|7
753.6|527.79|838.0|442.0|64.0|S|40.93|7
783.78|528.27|838.0|442.0|96.0|S|55.96|7
789.36|528.44|838.0|442.0|12.6628571428571|S|59.58|7
794.15|527.75|838.0|442.0|87.12|S|61.91|7
802.92|528.13|838.0|442.0|96.0|S|67.41|7
811.43|528.16|838.0|442.0|54.8571428571429|S|72.52|7
817.74|527.69|838.0|442.0|54.8571428571429|S|76.6|7
819.54|527.84|838.0|442.0|55.25|S|77.78|7
826.83|528.21|838.0|442.0|13.7142857142857|S|82.62|7
853.81|528.35|838.0|442.0|64.0|S|100.45|7
872.0|527.97|838.0|442.0|87.01|S|112.0|7
899.28|437.68|838.0|442.0|94.61|S|189.56|7
903.22|527.93|838.0|442.0|34.03|S|130.29|7
905.8|528.23|838.0|442.0|65.7657142857143|S|131.28|7
910.98|527.85|838.0|442.0|87.84|S|133.52|7
926.14|527.8|838.0|442.0|86.35|S|140.29|7
941.19|527.87|838.0|442.0|37.01|S|146.2|7
945.64|534.02|838.0|442.0|50.88|S|146.81|7
953.86|563.71|838.0|442.0|12.7642857142857|S|140.74|7
704.13|558.02|838.0|442.0|16.0|S|31.8|6
737.87|534.15|838.0|442.0|32.0|S|36.96|6
743.99|533.67|838.0|442.0|16.0|S|38.53|6
753.63|528.43|838.0|442.0|96.0|S|41.19|6
755.66|528.39|838.0|442.0|96.0|S|41.87|6
756.45|527.85|838.0|442.0|64.0|S|41.93|6
770.45|528.39|838.0|442.0|96.0|S|48.89|6
771.42|527.86|838.0|442.0|80.0|S|49.1|6
784.29|528.26|838.0|442.0|48.0|S|56.21|6
801.87|437.62|838.0|442.0|80.0|S|350.3|6
816.48|528.14|838.0|442.0|21.0666666666667|S|75.88|6
819.43|527.84|838.0|442.0|83.52|S|77.71|6
819.62|528.24|838.0|442.0|48.0|S|77.89|6
822.78|527.53|838.0|442.0|24.0|S|79.84|6
827.5|527.81|838.0|442.0|10.6666666666667|S|83.03|6
828.73|528.22|838.0|442.0|64.0|S|83.87|6
831.87|527.66|838.0|442.0|15.6616666666667|S|85.91|6
860.77|527.94|838.0|442.0|94.05|S|104.94|6
871.71|527.85|838.0|442.0|39.09|S|111.85|6
875.2|438.29|838.0|442.0|94.56|S|188.43|6
875.98|527.83|838.0|442.0|15.0216666666667|S|114.32|6
877.22|527.82|838.0|442.0|102.29|S|115.5|6
